feature,importance
event_type_Special,0.5010151148215768
likes,0.20930115598955248
event_type_Practice,0.0627243374708019
comments,0.054286407810481295
event_type_Collab,0.031406889708517405
is_collab,0.02417410879808472
location_ILSB 233,0.02369043471570021
day_of_week_Tuesday,0.019291122258676636
days_into_semester,0.017310682525893375
location_UC Ballroom,0.011998533449842278
month,0.007932858668589171
event_type_GBM,0.005728396446465512
day_of_week_Friday,0.005066045065167226
day_of_week_Saturday,0.0040539610368653
location_M&P 104,0.003280324070339344
is_weekend,0.0024907577467853602
location_External Venue,0.0024514806861144845
day_of_week_Wednesday,0.0020026303226216477
location_Quad/Commons,0.0016388517990520853
has_food,0.001344925057515673
location_ILSB 118,0.0010573669186234261
day_of_week_Monday,0.0010468397227709084
location_RAC/UC Ballroom,0.0009889419709190781
day_of_week_Thursday,0.0009254370492345889
is_major,0.0008623867559228471
day_of_week_Sunday,0.0007679959572156148
location_Practice Room,0.0007078575453168433
location_Theatre,0.0006704571601062881
location_ILSB 116A,0.000486885799425301
event_type_Fundraiser,0.0003911300825623947
location_The Commons,0.00038301645730833976
event_type_Rehearsal,0.0003435628899385936
location_Theatre/Large Hall,9.919032884045801e-05
location_Campus-wide,3.71377051275147e-05
location_RAC Court,3.611084555249089e-05
event_type_Trip,6.664362492134965e-06
